source,published_at,keyword,title,text,url,author,views,likes,comments,cleaned_text
TVmaze,2009-04-09,The Office,Dream Team,Michael and Pam set out to build their new company.,https://www.tvmaze.com/episodes/47733/the-office-5x22-dream-team,The Office,,,,
TVmaze,2009-04-09,The Office,The Michael Scott Paper Company,"Tensions run high between Michael, Pam and Ryan as they try to get the new company off the ground; Charles asks Jim to complete a task.",https://www.tvmaze.com/episodes/47734/the-office-5x23-the-michael-scott-paper-company,The Office,,,,
TVmaze,2009-04-16,The Office,Heavy Competition,Michael and Dwight wag war over clients; Jim pretends to confide in Andy.,https://www.tvmaze.com/episodes/47735/the-office-5x24-heavy-competition,The Office,,,,
TVmaze,2009-04-23,The Office,Broke,The Michael Scott Paper Company runs into financial trouble but Dunder Mifflin is worried about the clients they are losing.,https://www.tvmaze.com/episodes/47736/the-office-5x25-broke,The Office,,,,
TVmaze,2009-04-30,The Office,Casual Friday,"Michael, Pam and Ryan return to Dunder Mifflin; Some staff takes casual Friday too far; The other sales people are upset that they are not getting their clients back.",https://www.tvmaze.com/episodes/47737/the-office-5x26-casual-friday,The Office,,,,
TVmaze,2009-05-07,The Office,Cafe Disco,Michael tries to create a disco in his old Michael Scott Paper Company office.,https://www.tvmaze.com/episodes/47738/the-office-5x27-cafe-disco,The Office,,,,
TVmaze,2009-05-14,The Office,Company Picnic,The staff attend the Dunder Mifflin company picnic.,https://www.tvmaze.com/episodes/47739/the-office-5x28-company-picnic,The Office,,,,
TVmaze,2009-09-17,The Office,Gossip,Michael accidentally reveals that Stanley is having an affair so he makes up a bunch of other rumors to divert people's attention.,https://www.tvmaze.com/episodes/47740/the-office-6x01-gossip,The Office,,,,
TVmaze,2009-09-24,The Office,The Meeting,Michael attempts to sabotage Jim's efforts at a promotion. ,https://www.tvmaze.com/episodes/47741/the-office-6x02-the-meeting,The Office,,,,
TVmaze,2009-10-01,The Office,The Promotion,Michael and Jim have to decide who is getting a raise and who is not.,https://www.tvmaze.com/episodes/47742/the-office-6x03-the-promotion,The Office,,,,
TVmaze,2009-10-08,The Office,Niagara (1),The office staff head to Niagara Falls for Jim and Pam's wedding.,https://www.tvmaze.com/episodes/47743/the-office-6x04-niagara-1,The Office,,,,
TVmaze,2009-10-08,The Office,Niagara (2),The office staff travels to Jim and Pam's wedding.,https://www.tvmaze.com/episodes/47744/the-office-6x05-niagara-2,The Office,,,,
TVmaze,2009-10-15,The Office,Mafia,"With Jim and Pam on their honeymoon, Michael ends up signing up for insurance thinking the guy selling is in the mafia.",https://www.tvmaze.com/episodes/47745/the-office-6x06-mafia,The Office,,,,
TVmaze,2009-10-22,The Office,The Lover,Pam finds out that Michael is dating her mother.,https://www.tvmaze.com/episodes/47746/the-office-6x07-the-lover,The Office,,,,
TVmaze,2009-10-29,The Office,Koi Pond,Michael ends up becoming the butt of everyone's jokes when he falls into a koi pond while on a sales call; Pam and Andy are mistaken for a couple when they go on sales calls together.,https://www.tvmaze.com/episodes/47747/the-office-6x08-koi-pond,The Office,,,,
TVmaze,2009-11-05,The Office,Double Date,Michael breaks up with Pam's mom on her birthday; Dwight tries to get the rest of the staff to owe him in order to get Jim fired.,https://www.tvmaze.com/episodes/47748/the-office-6x09-double-date,The Office,,,,
TVmaze,2009-11-12,The Office,Murder,Michael attempts to distract the office when rumors of Dunder Mifflin's bankruptcy surface.,https://www.tvmaze.com/episodes/47749/the-office-6x10-murder,The Office,,,,
TVmaze,2009-11-19,The Office,Shareholder Meeting,"Michael is invited to be honored at a shareholder's meeting; Jim tries to get the rest of the office to understand he is one of the ""real"" bosses.",https://www.tvmaze.com/episodes/47750/the-office-6x11-shareholder-meeting,The Office,,,,
TVmaze,2009-12-03,The Office,Scott's Tots,Michael is in hot water when it comes time to pay up for promising a bunch of kids he would pay for their college tuition; Dwight tries to set Jim up.,https://www.tvmaze.com/episodes/47751/the-office-6x12-scotts-tots,The Office,,,,
TVmaze,2009-12-10,The Office,Secret Santa,Michael is upset when Jim allows Phyllis to be the office Santa for Christmas.,https://www.tvmaze.com/episodes/47752/the-office-6x13-secret-santa,The Office,,,,
TVmaze,2010-01-21,The Office,The Banker,A banker from the potential buyer visits the office.,https://www.tvmaze.com/episodes/47753/the-office-6x14-the-banker,The Office,,,,
TVmaze,2010-02-04,The Office,Sabre,Michael doesn't like the changes that the new owner is making to Dunder Mifflin; Jim and Pam interview at a day care.,https://www.tvmaze.com/episodes/47754/the-office-6x15-sabre,The Office,,,,
